,;43;51;46;51;52;32;33;34;32;29;39;38;40;31;32;42;29
.;43;51;46;51;52;32;33;34;32;29;39;38;40;31;32;42;29
emji_main_qui_écrit;32;45;37;39;31;25;25;22;23;26;38;29;33;29;31;36;28
suisse;10;24;14;27;29;13;9;5;10;3;18;12;7;6;21;20;9
emji_appareil_photo;27;33;30;33;37;19;24;23;19;15;6;21;28;20;18;26;21
rts;16;28;24;26;47;20;12;21;20;14;10;24;21;10;16;20;9
keystone;22;18;27;34;29;14;24;24;16;9;10;11;20;9;30;32;19
info;15;25;20;22;44;19;11;18;17;14;1;23;18;8;15;18;7
rtsinfo;23;15;22;27;8;12;18;12;12;13;2;10;15;17;16;14;15
:;7;8;7;8;12;14;7;5;10;13;18;7;9;9;7;6;4
emji_drapeau_suisse;8;11;5;24;24;6;19;13;8;3;15;5;9;5;19;18;8
premier;9;8;12;12;6;6;5;6;2;5;18;7;6;9;3;7;11
année;3;12;5;10;7;6;8;6;6;2;15;10;4;11;13;12;2
!;7;3;7;2;31;4;3;7;5;0;22;3;6;1;3;4;1
mettre;10;5;4;6;8;3;6;7;5;4;4;7;12;8;8;9;3
ats;6;6;14;9;5;9;7;7;6;3;8;3;7;7;12;20;4
emji_appareil_photo_avec_flash;9;5;7;8;3;8;5;5;6;9;20;3;3;4;12;13;3
emji_main_avec_index_pointant_à_droite;9;5;8;10;18;7;8;9;6;2;7;7;6;1;2;4;0
monde;1;9;4;1;5;2;1;1;2;0;19;6;1;5;2;4;1
grand;2;4;1;11;3;3;7;10;1;7;15;12;3;3;1;11;7
dernier;4;10;7;7;5;4;2;5;4;0;12;2;2;4;6;8;4
afp;14;5;12;3;2;5;0;2;2;6;4;6;6;9;2;6;4
genève;2;5;3;5;6;1;14;6;4;5;3;2;3;3;3;4;0
lien;9;2;9;3;37;5;3;8;5;1;0;2;8;1;2;3;0
également;8;14;4;4;2;2;8;5;10;0;5;7;3;3;7;11;9
nouveau;3;3;6;12;9;7;8;6;4;9;3;7;1;5;7;7;2
emji_chaînons;8;2;8;2;37;5;3;8;4;0;0;1;7;1;2;3;0
rester;4;12;7;9;3;6;4;6;6;5;3;0;8;5;7;2;4
jour;8;3;10;7;4;4;3;3;1;3;10;2;7;4;3;9;6
pays;1;7;14;5;2;2;2;6;2;0;4;0;2;2;3;5;9
notamment;5;9;11;11;8;6;4;8;7;7;6;5;4;6;2;8;4
emji_caméscope;4;10;1;5;5;2;4;1;1;2;3;9;7;6;1;1;3
souligner;7;19;6;6;10;8;1;7;8;4;1;4;3;3;7;8;2
bio;8;2;9;2;36;5;3;8;5;1;0;1;7;1;2;3;0
conseil;2;2;3;15;8;0;2;12;2;1;0;0;0;1;9;8;6
permettre;3;3;6;12;3;5;7;4;5;9;3;4;3;2;1;11;3
annoncer;4;0;13;5;3;2;7;14;1;1;1;3;6;8;2;7;9
prévoir;5;4;9;16;7;1;15;8;0;1;0;1;2;3;6;10;7
face;5;7;1;8;10;4;2;7;2;0;13;1;4;0;3;6;3
public;11;1;2;11;6;4;5;12;7;0;5;2;7;8;1;5;3
canton;2;5;1;11;10;2;6;7;3;1;0;2;2;0;6;3;0
place;3;1;3;4;5;3;9;4;0;0;6;2;6;1;5;6;0
fédéral;3;6;1;7;7;1;3;5;2;1;1;0;2;0;8;10;8
femme;5;17;4;1;2;1;0;0;3;1;8;4;4;4;1;3;5
projet;2;0;3;12;10;2;6;3;2;3;1;1;0;4;2;10;2
novembre;3;0;6;5;5;0;2;8;2;1;3;2;3;4;1;6;1
viser;4;3;10;14;13;4;1;7;2;5;0;2;2;1;2;4;4
état;7;3;11;2;3;2;2;7;1;1;0;0;8;0;1;3;12
prendre;4;8;6;3;6;3;4;8;2;2;6;1;5;3;8;6;3
américain;2;0;10;5;1;1;0;0;1;0;5;0;3;3;0;3;21
voir;4;1;1;5;8;5;2;3;4;0;9;1;2;4;3;7;1
mondial;1;6;3;2;0;2;0;2;0;1;17;4;1;5;1;3;1
franc;1;1;4;17;10;0;6;3;1;0;1;4;2;1;3;9;2
président;11;0;6;1;2;0;0;10;1;0;0;0;1;1;2;7;9
groupe;2;2;5;3;5;3;0;4;0;1;1;2;5;6;0;1;1
fin;2;2;4;7;4;4;3;5;1;0;7;1;5;4;1;1;2
cliquer;7;2;7;1;30;4;3;7;4;0;0;1;6;0;2;1;0
national;1;2;2;3;5;1;2;5;2;0;4;1;4;1;10;7;6
jeune;2;15;0;4;5;3;1;1;5;3;4;5;4;3;1;5;3
passer;4;6;0;5;6;5;7;1;2;0;8;4;3;3;5;7;4
offrir;1;4;0;5;10;4;10;1;4;8;1;11;0;0;2;2;3
?;0;4;0;1;6;2;0;1;7;0;16;2;1;3;2;1;2
heure;5;3;6;3;2;0;12;5;3;1;5;0;6;1;4;5;1
enfant;0;11;10;1;0;0;1;2;6;4;1;3;3;2;5;2;0
social;6;11;1;5;7;1;2;4;3;2;1;6;1;1;3;6;1
unir;4;4;4;0;0;1;1;0;1;2;0;1;4;2;0;2;16
près_de;2;3;2;5;1;3;2;1;1;5;4;5;5;3;2;7;2
police;3;0;2;2;4;0;1;3;0;0;2;0;24;0;0;5;1
homme;8;10;4;0;2;3;1;0;0;1;5;3;13;1;0;0;2
décembre;2;2;3;5;2;1;12;5;0;0;4;5;1;3;2;4;3
aller;3;3;0;9;4;1;2;1;1;2;7;2;1;4;1;4;3
service;0;6;2;8;3;1;12;2;2;0;2;0;8;2;1;3;2
devenir;3;6;0;8;4;2;0;5;1;1;11;6;1;5;3;1;3
photo;7;0;8;1;15;2;2;7;2;1;1;2;2;0;1;1;0
équipe;1;1;1;1;4;1;1;0;1;4;10;3;1;1;1;4;0
nouvelle;1;3;4;5;2;10;9;2;2;4;2;4;2;5;1;3;1
demander;6;5;1;8;10;2;5;4;0;0;3;2;4;2;4;6;2
révéler;2;14;1;1;6;2;1;3;10;8;1;5;4;1;2;5;0
retrouver;5;3;3;1;6;2;0;2;5;3;3;2;4;2;0;1;1
jeudi;3;1;4;2;1;1;5;7;1;1;3;1;3;1;3;5;2
ville;1;0;2;5;6;0;6;2;3;1;4;7;3;0;4;5;3
travail;1;7;1;3;12;1;4;4;2;1;1;1;0;2;5;4;0
politique;6;3;5;3;2;1;0;10;3;1;1;0;1;1;1;3;7
partir;4;1;3;7;2;1;6;6;1;0;0;0;1;3;2;4;6
initiative;1;3;2;12;11;0;1;4;0;0;1;1;0;0;3;3;2
fois;2;7;0;2;2;2;7;1;1;4;7;5;0;2;4;6;2
lausanne;2;1;0;2;7;1;13;6;3;1;2;0;4;1;1;8;0
prochain;2;0;3;7;0;0;5;7;0;0;7;0;0;3;2;9;5
prix;0;0;0;6;4;0;0;1;1;1;0;8;1;1;2;2;1
international;1;3;12;1;0;2;2;1;1;1;4;4;2;5;1;3;4
indiquer;2;3;8;4;1;1;5;2;1;0;3;0;4;5;6;9;1
santé;5;11;3;3;4;3;1;2;14;4;0;1;1;0;1;3;2
étude;0;17;1;4;1;4;0;0;10;14;0;0;0;0;4;2;0
semaine;4;1;5;1;5;1;5;6;1;2;2;3;0;0;1;6;4
mesure;5;4;1;12;10;4;2;7;2;0;0;2;2;0;3;5;2
trump;4;0;7;0;0;0;0;0;1;0;1;0;1;0;0;0;18
sécurité;3;0;9;4;3;2;4;4;1;0;1;1;11;0;2;6;3
lundi;3;3;5;5;2;0;6;4;0;0;1;3;4;1;1;3;2
dimanche;1;1;7;2;2;0;4;4;0;0;5;0;4;3;2;3;3
désormais;3;4;5;5;3;6;3;2;1;0;2;1;2;2;2;4;2
temps;1;4;1;3;2;0;4;3;4;1;9;2;1;0;2;7;3
jean;4;2;1;3;13;2;5;3;2;0;2;3;0;1;11;3;1
situation;3;5;11;3;7;4;2;6;2;0;0;0;8;0;1;3;0
population;0;7;4;7;2;5;1;4;1;2;0;0;4;0;4;5;0
noël;0;1;0;2;1;0;3;1;1;0;2;8;0;4;4;3;0
connaître;3;2;2;1;2;5;0;0;3;2;3;0;2;12;1;1;1
vie;1;8;4;0;4;6;0;2;3;6;1;4;3;4;2;0;1
partie;1;5;6;6;1;0;1;1;1;3;2;1;2;3;2;6;3
ligne;2;3;6;2;3;1;16;0;2;1;2;4;2;1;1;4;0
octobre;2;1;11;1;1;3;1;3;0;0;9;2;2;3;0;1;3
expliquer;2;5;1;5;1;6;1;4;3;4;5;2;4;0;4;4;1
enquête;8;7;1;2;4;1;0;3;1;1;0;1;11;0;2;0;2
droit;7;2;5;3;2;0;1;7;0;2;3;0;1;3;6;2;3
couper;1;0;0;0;2;0;2;4;0;0;2;0;0;0;0;1;1
atteindre;1;6;0;2;0;1;1;0;4;6;6;3;2;0;4;4;0
rendre;7;3;4;5;2;1;2;1;3;1;5;1;1;7;2;0;4
français;11;2;1;3;2;1;2;4;0;0;8;2;1;4;1;0;0
mort;8;0;9;0;2;3;0;2;0;0;1;3;8;4;1;1;2
marquer;3;1;0;1;0;0;2;5;2;2;3;3;0;1;1;3;4
déclarer;7;3;5;2;1;1;1;1;1;1;6;0;2;1;0;2;1
violence;5;6;4;0;0;0;0;1;0;0;1;3;9;1;1;2;1
mois;6;1;3;4;3;1;0;2;2;0;1;2;2;3;1;1;1
réseau;7;5;1;5;2;3;2;0;3;1;3;3;3;1;0;2;0
nombre;0;13;3;1;1;0;1;1;1;3;1;0;0;0;5;7;1
