"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"43";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
"44";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
"45";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
"46";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;64;64;64
"47";2;5;6;8;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;50;50;50;50;50;50;50;50;50;50
"48";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;65;65;65
"49";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
"50";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;67;67
"51";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
"52";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;34;34;34;34;34;34;34;49;49;49;49;49;49;60;60;60;60;60
"53";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
"54";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;59;59;59;59;59;59
"55";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;65;65;65
"56";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;59;59;59;59;59;59
"57";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
"58";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;68
"59";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;43;43;43;43;43;43;55;55;55;55;55;55;55;55
"60";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"61";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;43;43;43;43;43;43;55;55;55;55;55;55;55;55
"62";2;5;6;8;10;13;13;13;13;20;20;20;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
"63";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;53;53;53;53;53;53;53;53;53
"64";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;47;47;47;47;47;47;47;47;47;47;47;47
"65";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;43;43;43;43;43;43;55;55;55;55;55;55;55;55
"66";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
"67";2;5;7;7;7;7;14;14;14;14;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23
"68";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;65;65;65
"69";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;64;64;64
"70";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
"71";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
"72";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;43;43;43;43;43;43;54;54;54;54;54;54;54;54
"73";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;66;66
"74";2;5;6;9;9;9;9;9;19;19;19;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;62;62;62;62
"75";2;5;6;8;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;51;51;51;51;51;51;51;51;51;51
"76";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;65;65;65
"77";2;5;6;9;9;9;9;9;19;19;19;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;63;63;63;63
"78";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;45;45;45;45;45;45;57;57;57;57;57;57;57
"79";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"80";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;59;59;59;59;59;59
"81";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;69
"82";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;43;43;43;43;43;43;54;54;54;54;54;54;54;54
"83";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"84";2;5;6;8;10;13;13;13;13;20;20;20;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
"85";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;66;66
"86";2;5;6;8;10;13;13;13;13;20;20;20;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
"87";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;34;34;34;34;34;34;34;49;49;49;49;49;49;60;60;60;60;60
"88";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;58;58;58;58;58;58
"89";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;34;34;34;34;34;34;34;49;49;49;49;49;49;61;61;61;61;61
"90";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
"91";2;5;6;9;9;9;9;9;19;19;19;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;62;62;62;62
"92";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
"93";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;53;53;53;53;53;53;53;53;53
"94";2;5;6;9;9;9;9;9;19;19;19;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;62;62;62;62
"95";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;47;47;47;47;47;47;47;47;47;47;47;47
"96";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;43;43;43;43;43;43;55;55;55;55;55;55;55;55
"97";2;5;7;7;7;7;14;14;14;14;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23
"98";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;59;59;59;59;59;59
"99";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;45;45;45;45;45;45;57;57;57;57;57;57;57
"100";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;59;59;59;59;59;59
"101";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;64;64;64
"102";2;5;6;8;10;13;13;13;13;20;20;20;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
"103";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;45;45;45;45;45;45;57;57;57;57;57;57;57
"104";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;58;58;58;58;58;58
"105";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;43;43;43;43;43;43;54;54;54;54;54;54;54;54
"106";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;66;66
"107";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;64;64;64
"108";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;65;65;65
"109";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;34;34;34;34;34;34;34;49;49;49;49;49;49;61;61;61;61;61
"110";2;5;6;8;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;51;51;51;51;51;51;51;51;51;51
"111";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
"112";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;45;45;45;45;45;45;57;57;57;57;57;57;57
"113";2;5;6;9;9;9;9;9;19;19;19;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;63;63;63;63
"114";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;65;65;65
"115";2;5;6;9;9;9;9;9;19;19;19;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;63;63;63;63
"116";2;5;6;9;9;9;9;9;19;19;19;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;63;63;63;63
"117";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
"118";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;44;44;44;44;44;44;44;44;44;44;44;44;44
"119";2;5;6;8;10;13;13;13;13;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21
"120";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
"121";2;5;7;7;7;7;14;14;14;14;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23
"122";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;45;45;45;45;45;45;57;57;57;57;57;57;57
"123";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
"124";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;44;44;44;44;44;44;44;44;44;44;44;44;44
"125";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
"126";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;58;58;58;58;58;58
"127";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;69
"128";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;68
"129";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;44;44;44;44;44;44;44;44;44;44;44;44;44
"130";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;45;45;45;45;45;45;57;57;57;57;57;57;57
"131";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;65;65;65
