"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17"
"installation";1;1;0,106;0;1;1;0;1;1;1;1;1;1;1;1;0,641;1
"innovation";1;1;0,45;1;1;1;1;1;0,246;1;1;0,334;1;0,231;1;0,016;0,202
"influencer";1;0;1;0,871;1;1;1;0,557;1;1;1;0,638;1;0,492;1;1;0,448
"hommage";0,084;1;1;1;0,808;1;1;1;1;1;0,059;1;1;0;1;1;0,388
"hans";0,733;0,015;1;1;0,887;0,514;1;0,557;1;0,025;1;1;1;0,492;0,535;1;1
"fuite";0,056;0,708;1;1;1;1;1;1;1;1;1;1;0;1;1;0,562;1
"festival";1;1;1;0,519;0,532;1;1;1;1;1;0,349;0,01;1;0,003;1;1;1
"emji_sapin_de_noël";1;1;1;0,871;1;1;1;1;1;1;0,657;0;1;0,034;0,044;1;1
"emji_bulle_de_parole";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0,562;1
"effort";1;0,871;0,144;0,871;1;1;1;0,557;0,514;1;0,657;1;0,092;1;1;1;0,025
"déterminer";0,868;1;1;1;1;0,635;0,085;0,681;0,635;1;1;0,135;0;1;1;1;1
"document";0;1;1;0,104;0,723;1;1;1;1;1;1;1;0,042;1;1;1;1
"disputer";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0,479;1
"disposer";0,733;0,194;0,787;0,194;0,887;1;0,044;1;1;1;0,657;1;1;1;0,535;1;1
"différent";1;1;1;1;0,723;0,383;1;1;0,383;1;0,51;0,493;1;0,364;0,402;0,051;1
"diffuser";0,579;1;0,629;0,708;1;0,383;1;1;1;1;0,51;0,493;0,042;1;1;1;0,326
"courir";1;1;1;1;0,072;0,315;1;1;0,315;1;0,022;0,415;0,447;1;1;1;1
"constater";1;0,019;1;1;1;0,179;1;1;1;0,001;1;1;0,278;1;1;1;1
"confier";1;1;1;0,708;1;0,383;0,018;1;1;1;0,038;0,493;0,528;0,364;1;1;1
"condamner";0;1;0,924;1;1;1;1;0,094;1;1;1;1;0,809;1;1;1;1
"compétence";1;0,001;1;0,943;0,959;1;1;1;0,056;0,038;1;1;1;1;0,598;1;0,507
"commercial";0,868;1;0,924;1;1;0,635;1;1;1;1;1;0;0,809;0,612;1;1;0
"circuler";1;1;1;1;0,316;1;0;1;0,635;1;1;1;1;1;0,659;1;1
"championnat";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"chambre";0,733;1;1;0,871;0,887;1;0,535;0,557;1;0,448;1;1;1;0,492;1;1;0
"candidat";0,223;1;1;1;1;1;1;0,134;1;0,089;1;1;1;1;0,125;1;0,089
"caméra";1;1;1;0,415;1;1;1;1;0,179;1;0,265;1;1;0,167;1;0,007;1
"cadeau";1;0,617;1;0,617;1;1;1;1;1;1;0,022;1;1;1;0,009;0,479;0,264
"benjamin";1;1;0;1;0,317;1;1;1;1;1;0,183;1;1;1;1;1;1
"avril";0,154;1;0,187;0,943;0,959;1;0,063;0,62;1;1;1;1;0,745;1;1;1;0,038
"avion";0,803;1;0,858;1;1;1;0,598;1;1;1;1;0,104;0,123;1;1;0;1
"avancé";1;0,194;0,787;1;1;1;0,535;1;0,514;0;1;1;1;1;1;1;1
"australien";1;0,617;1;1;1;0,315;1;1;1;1;0;1;0;1;1;1;1
"attirer";1;1;1;0,871;0,887;0,514;1;0,557;1;0,448;0,657;0;1;1;1;0,715;1
"assurance";1;1;1;0,001;0,259;1;1;1;0,576;1;1;1;1;1;0;0,784;1
"approcher";1;1;1;1;0,072;1;1;1;0,315;0,004;0,431;1;1;0,007;1;1;1
"amateur";1;1;1;1;1;1;1;1;1;1;0,022;0;0,447;1;1;1;1
"actif";1;0,008;1;0,146;1;0,45;0,029;1;0,45;1;1;1;1;1;0,47;1;1
"équiper";1;1;1;0,194;0,887;0,514;0,535;1;0,514;1;0,657;1;0,677;1;0,535;0,108;1
"éliminer";1;1;0,45;1;1;1;1;1;0,003;0,202;0,011;1;1;1;1;1;0,202
"zoo";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
"voisin";0,495;1;0,542;1;1;1;1;1;1;1;1;0,415;0,025;1;1;0,031;0,264
"vd";0,803;1;1;1;0,959;0,576;0;1;1;1;1;0,004;1;1;1;0,143;1
"usage";1;1;1;0,708;1;1;1;1;0;0,326;1;1;1;1;0,402;0,562;1
"trouble";1;0,004;1;1;0,723;1;1;1;0;0,326;1;1;1;1;1;1;1
"tarif";1;1;1;0;0,631;1;1;1;1;1;1;0,415;1;1;0,332;1;1
"sélection";1;1;1;1;1;1;1;1;1;1;0,001;0,173;1;0,107;1;0,213;1
"stress";1;0,039;1;1;1;0,246;1;1;0,003;0,202;1;1;1;1;0,261;1;1
"st";1;1;0,542;0,617;1;1;0,332;1;1;1;0,431;0;0,447;1;1;1;1
"sommet";1;1;0,45;0,519;1;1;1;0,275;1;1;0,349;0,334;1;1;1;0,393;0,202
"sol";1;1;0,542;1;1;1;1;1;0,315;1;0,431;0,415;0;1;1;1;1
"simple";1;0,871;1;0,871;1;1;1;1;0,039;0,025;0,084;1;0,677;0,492;0,535;1;1
"significatif";1;0,302;1;1;1;1;0;1;0,635;0,563;1;0,768;1;1;0,659;1;0,052
"signature";1;1;0,542;0,068;0,631;1;1;0,348;1;1;1;1;1;0,298;1;1;0,004
"servir";0,579;0,708;1;1;1;1;1;1;0,383;1;0,51;0,493;0,528;1;0,402;0,051;1
"résidence";0;1;1;1;1;1;1;1;1;1;1;1;0,364;1;0,261;1;0,202
"réserver";1;1;1;0,146;0,155;1;1;1;1;1;0,586;1;1;1;1;0;1
"règle";1;1;1;0,871;0,017;0,514;1;1;1;1;0,657;1;0,677;1;0,535;0,715;0,025
"royaume";1;0,708;1;1;1;0,383;1;1;1;0,326;0,51;0,493;0,528;0,364;1;1;0,009
"retirer";0;1;0,924;1;1;1;1;0,094;0,635;1;0,147;1;0,809;0,612;1;1;1
"responsabilité";0,407;0,039;1;1;1;0,246;1;0,005;1;1;1;1;0,364;1;1;1;1
"rassembler";1;1;1;1;0,631;1;1;0,348;1;1;0,431;0,415;0,025;1;1;0,479;0,264
"rapidement";1;0,708;1;1;0,723;0,383;1;0,42;1;1;1;1;0,001;0,364;1;1;0,326
"proposition";0,579;1;0,629;0,708;1;1;1;0,02;0,015;1;1;1;1;0,364;0,402;1;1
"pro";1;1;0,022;1;1;1;1;0,681;1;1;0,147;1;0;1;0,659;1;0,563
"polémique";0,034;1;1;0,617;1;1;1;0,011;0,315;1;0,022;1;1;1;1;1;1
"payer";1;1;0,71;0,792;0,808;1;1;1;1;1;0,586;1;0,064;1;0,029;0,641;0,388
"olympique";1;1;1;1;1;1;1;1;1;1;0;1;1;0,107;1;1;1
"obligation";0,579;0,104;1;0,004;1;0,383;1;1;1;1;1;1;1;1;0,018;1;1
"numéro";1;1;1;1;1;1;0,067;1;1;1;0,106;0,099;1;1;1;1;0,045
"numérique";1;0,104;1;0;1;1;1;1;0,383;1;1;0,493;1;1;1;1;1
"municipal";1;1;1;1;0,723;1;1;0;1;1;1;1;0,042;1;1;0,051;0,326
"montant";1;1;0,787;0;0,887;1;1;1;0,514;0,448;1;0,638;1;1;0,535;1;0,448
"mission";1;1;0,254;1;1;1;1;0,134;0,116;1;0,183;1;0,193;1;1;1;1
"matche";1;1;1;1;1;1;1;0,134;1;1;0;1;1;1;1;1;1
"magazine";1;0,708;1;0,708;1;1;1;1;1;0,326;0,51;0,493;1;0,364;0,402;0,562;0,326
"lune";1;0,098;1;1;1;1;1;1;1;1;1;0,041;1;0,019;1;1;1
"louvre";0,061;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"londres";1;0,519;1;1;1;1;1;1;1;1;0;0,334;1;1;1;0,393;1
"limité";1;0,871;1;0,871;0,205;1;1;1;1;0,448;1;1;1;1;0,535;0;0,448
"judiciaire";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"interne";0,008;1;1;0,415;0,427;1;1;0,203;1;0,143;1;1;1;1;1;1;1
"informer";1;1;1;0,194;0,887;0,514;0,001;0,557;1;1;1;0,638;1;1;0,535;0,715;1
"idéal";1;0,002;1;0,197;1;0,061;1;1;1;1;1;1;1;1;1;1;1
"helvétique";1;0,519;1;0,519;1;1;1;1;1;1;0,011;0,334;1;0,231;1;0,393;1
"guy";1;1;1;1;1;1;1;0,275;1;1;1;1;1;1;1;0,016;0
"gall";1;1;0,71;0;1;1;0,47;1;1;1;0,001;1;1;1;1;1;1
"fêter";1;1;1;1;1;1;1;1;1;1;0;1;1;0,003;1;1;0,202
"frontalier";1;0,617;0,001;1;0,631;1;0,009;1;1;1;1;1;0,447;1;1;1;1
"fm";1;1;1;0,197;0,002;1;1;1;1;1;1;1;1;1;0,067;1;1
"fermeture";1;1;1;0,519;0,532;1;1;0,275;1;1;1;0,01;0,013;1;1;1;1
"explosif";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0,213;1
"exception";1;1;0,787;0;1;1;1;0,557;1;1;1;0,638;1;0,492;0,535;0,108;1
"envoyer";0,579;1;0,629;1;1;1;1;1;0,383;1;0,51;1;1;1;0,018;0,001;1
"entretien";0,034;1;1;1;1;1;1;1;0,315;0,004;1;1;0,025;1;1;0,479;1
"emji_train";1;1;1;1;1;1;0;1;1;1;1;1;0,809;1;1;1;1
"effectuer";1;1;1;0,247;1;1;0;1;1;1;1;1;1;1;0,063;1;0,507
"déployer";1;1;1;1;1;1;0,402;0,42;1;1;1;0,493;0,001;1;1;0,051;0,326
"décrocher";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"durer";0,579;1;0,629;1;1;1;0,402;1;1;0,326;0;1;1;0,364;1;1;0,326
"drone";1;1;0;1;1;1;1;0,028;1;1;1;1;1;1;1;1;1
"doute";0,117;1;0,787;1;1;1;1;1;0,514;0,448;0,657;1;0,092;1;1;0,108;0,448
"don";1;0,415;0;1;0,427;1;0,191;1;1;1;1;1;1;1;1;1;1
"diriger";0,495;1;1;1;1;1;1;1;1;0,004;0,431;1;0,447;0,298;1;1;0,004
"célébrer";1;1;1;1;1;1;0,261;1;1;1;0,011;0;1;0,231;1;1;1
"couvrir";1;1;1;0,004;1;1;1;1;1;0,326;0,51;1;0,528;1;0,402;0,051;1
"courant";0,495;0,617;1;1;0,631;1;0,332;1;0,315;0;1;1;1;1;1;1;1
"consommateur";1;1;1;0,617;0,631;0,315;1;1;0,315;1;1;1;1;0,298;0,009;0,479;1
"conduire";1;1;0;1;0,808;0,45;0,47;0,49;0,45;1;1;1;0,604;1;1;1;1
"coalition";1;1;1;1;1;0,116;1;1;1;1;1;1;1;1;1;1;0
"cible";1;1;0,002;0,708;1;1;1;0,02;1;1;0,51;1;0,528;1;1;0,562;1
"centrale";1;0,792;0,71;0,146;1;1;0;1;0,45;1;1;0,567;1;1;1;1;1
"cardiaque";1;1;1;1;1;1;1;1;0;0,004;0,431;1;1;1;0,332;0,479;1
"cambriolage";0,223;1;1;0,306;0,317;1;1;1;1;1;1;0,173;0,193;1;1;1;1
"cacher";0,658;1;1;0,792;1;1;1;1;0;1;0,586;0,053;1;1;1;1;0,016
"bébé";1;0,104;1;1;1;0,015;1;1;0,383;0;1;1;1;1;1;0,562;1
"britannique";1;1;1;1;1;1;1;1;1;0;0,657;0,638;0,092;0,034;1;1;0,448
"bloquer";0,579;0,708;0,072;1;0,723;1;0,402;1;0,383;1;0,51;1;1;1;1;1;0,326
"bientôt";1;1;0,71;0,792;1;1;0,47;0,033;1;1;0,586;1;0,604;1;0,029;1;0,388
"autoriser";0,733;1;0,144;0,871;0,887;1;1;0,557;1;1;1;1;0,003;1;1;0,715;0,448
"au_delà";1;0,519;0,45;0,039;1;1;1;1;1;1;0,349;0,01;1;1;1;1;1
"administration";0,003;1;1;0,008;1;1;1;1;0,45;1;1;1;1;1;0,47;1;0,016
"2e";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0,056;1
"étudier";1;0,004;1;0,104;0,723;1;1;1;0,383;0,326;1;1;1;1;0,402;1;1
"écouter";0,495;1;0,542;1;0,072;1;1;1;0,315;1;1;1;1;0;1;1;1
"vitesse";0,579;1;1;0,708;0,723;1;0,018;1;1;1;0,51;0,493;1;1;0,018;1;1
"version";1;1;1;1;1;1;1;1;0,022;1;1;1;1;0,019;0,025;1;1
"transférer";1;1;0;0,104;1;1;1;1;1;1;1;1;0,528;1;1;0,562;1
"trace";1;1;1;1;0,072;1;1;1;0,008;1;0,431;0,415;0,447;1;1;0,479;1
"tournée";1;1;0,629;1;1;1;0,402;1;1;1;1;1;0,528;0;1;0,562;0,326
"tournoi";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"tenue";0,407;0,519;1;1;1;1;1;0,275;1;1;1;0,334;0,364;1;1;1;0,002
"technologie";1;1;1;0,068;0,631;0,315;0,332;1;1;0,264;1;0,415;1;1;1;0,479;1
"symbole";0,056;1;0,629;0,708;1;1;1;0;1;1;0,038;1;1;1;1;1;1
"streaming";1;0,415;1;0,415;1;1;1;1;1;1;1;1;1;0;1;1;0,143
"spectacle";0,579;0,708;1;1;1;1;1;1;1;1;0,038;0,034;0,528;0,013;1;1;1
"soudan";1;1;0;1;1;1;1;1;1;1;1;0,334;1;1;1;1;1
"sondage";1;0,306;1;1;0,317;1;1;1;1;1;1;1;1;0,107;0;1;1
"signe";1;0;1;0,519;1;1;1;1;1;1;1;1;1;0,231;1;1;0,002
"signaler";0,658;0,792;0,71;1;1;0,025;0,47;1;1;1;1;1;0,064;1;0,47;1;0,388
"schneider";1;1;1;1;1;1;1;1;1;1;0,106;1;1;1;0,067;0;1
"réserve";1;0,708;0,629;1;0,723;1;0,402;1;0,383;1;1;0,493;1;0,364;1;0,562;0,326
"réjouir";1;1;1;1;1;1;0,332;1;1;1;0,431;0,019;1;1;0,332;0;1
"romands";0,495;0,068;1;0,617;1;1;0,332;0,011;0,315;1;1;1;1;1;1;1;1
"romain";1;1;1;1;1;1;1;1;0,061;1;1;0;1;0,056;1;1;1
"relier";1;1;0,629;0,708;0,723;1;0;1;1;1;1;1;1;1;1;1;1
"relancer";0,001;1;0,629;0,004;1;1;1;1;1;1;1;0,493;1;0,364;1;1;1
"recul";1;0,015;1;0;1;0,514;0,535;1;1;1;1;1;1;1;0,044;1;1
"recueillir";1;0,007;0,254;1;1;1;1;1;0,116;1;1;1;0,193;1;1;1;1
"recenser";1;0,415;0,011;0,415;1;0,001;1;1;1;1;1;1;1;1;1;1;1
"radio";1;1;0,072;0,004;0,11;1;1;0,42;1;1;1;1;0,528;1;1;1;1
"publication";0,001;1;1;0,708;0,723;1;1;1;1;1;0,51;1;0,528;0,364;0,402;1;1
"provenir";1;0,617;0,542;0,617;1;1;1;1;1;0,264;1;0;1;0,298;1;1;1
"promouvoir";1;0,068;1;1;0,072;1;1;0,348;1;1;1;0,415;0,447;1;1;0,479;1
"producteur";1;1;1;0,415;1;1;1;1;1;0,143;1;1;1;0;1;1;1
"printemps";1;1;1;0,001;1;0,576;0,063;0,071;0,576;1;0,725;1;1;0,553;1;1;1
"principalement";0,733;0;1;0,871;0,887;0,514;1;1;1;1;0,657;1;1;1;0,535;1;0,448
"potentiellement";0,733;1;0,787;1;1;1;1;0,557;0;0,448;1;0,638;0,677;1;1;1;0,448
"possibilité";1;1;1;0,068;0,631;1;0,332;0,348;1;1;1;0,019;1;1;1;1;0,264
"percevoir";1;0,008;1;0,146;1;1;1;1;0,45;1;1;1;1;1;0,029;0,641;0,388
"passager";1;1;0,71;1;1;1;0;1;0,45;1;1;1;0,064;1;1;0,002;1
"of";1;1;0,254;1;1;1;0,125;1;1;1;1;0,001;1;1;1;1;0,089
"méthode";0,579;0,708;0,629;1;1;0,015;1;1;0;0,326;1;1;1;1;1;1;1
"modifier";1;0,792;1;0,792;0,808;1;1;1;0,025;0;0,586;1;0,604;1;1;1;1
"mental";1;0;1;1;0,808;1;1;1;0;1;1;1;1;1;0,47;1;1
"matériel";1;1;0,542;0,617;1;1;0,332;0,348;1;1;1;1;0,025;1;1;0,479;0,264
"matinal";0,658;1;0,106;0,792;1;1;0;0,49;1;1;1;1;1;1;1;0,641;0,388
"magasin";0,316;1;1;1;0,021;0,179;1;0,203;1;0,143;1;1;1;1;1;1;1
"irlande";1;1;0,45;1;1;1;1;0,005;1;1;0;0,334;1;1;1;1;1
"humanité";0,008;1;0;1;1;0,179;1;1;1;1;1;1;1;1;1;1;1
"horaire";1;0,247;1;1;1;1;0;1;1;1;1;1;1;1;1;0,784;1
"génération";1;0,519;1;1;0,532;1;0,261;0,275;1;1;1;0,01;1;1;1;0,393;1
"grippe";1;1;1;1;0,205;0;1;1;1;0,045;1;1;1;1;1;1;1
"gilliéron";1;0,194;1;1;0,887;0,514;1;0,05;0,039;1;1;1;0,677;1;0,535;0,715;1
"frère";0,003;0,792;0,71;1;1;1;1;1;1;1;0,001;0,567;1;0,429;1;1;1
"fruit";1;1;0,71;1;0,155;0,45;1;1;0;0,016;1;1;0,604;1;1;1;1
"fournir";1;0,943;0;1;0,259;0,576;1;1;1;1;1;0,705;0,745;1;1;0,784;1
"finalement";1;1;1;1;1;0,315;1;0,348;1;1;0;1;0,447;0,298;1;1;0,264
"faveur";0,495;1;0,001;0,617;1;1;1;0,348;1;1;1;1;0,025;1;1;1;1
"fait";0;1;0,144;0,871;0,887;1;1;1;1;1;1;1;0,677;1;1;0,715;1
"facteur";1;0;1;1;1;0,45;1;0,49;1;1;1;1;1;1;1;1;1
"exclure";0,316;1;1;0,415;1;1;1;0,002;0,179;1;0,265;1;1;1;1;1;1
"entendre";0,868;1;0,233;0,302;1;1;1;0,094;1;0,563;0,147;1;0,809;1;1;0,849;1
"enseignant";0,495;0,617;1;0,617;0,072;1;1;0,348;1;1;1;1;1;1;0,332;0,479;1
"empêcher";0,579;0,708;0,629;0,708;1;0,383;1;1;1;1;0,51;1;0,528;1;0,402;0,562;1
"emji_trophée";1;1;1;1;1;1;1;0,348;1;1;0,022;0;1;1;1;1;1
"emji_porte_documents";1;0,943;1;0,943;0;1;1;0,62;1;1;1;1;1;1;0,001;1;1
"emji_main_qui_écrit_peau_moyennement_claire";1;0,792;1;0,792;1;1;1;0,49;0;0,388;1;0,567;1;0,429;1;0,641;1
"emji_graphique_en_hausse";1;1;1;1;1;0,383;1;1;0,383;1;0,51;1;1;1;0,402;0;1
"emji_graphique_en_baisse";1;0;1;0,247;0,959;1;1;1;1;1;0,725;1;1;1;0,598;1;1
"emji_cerveau";1;0;1;1;1;1;1;1;0,001;0,025;1;1;1;1;1;1;1
"déplacement";1;1;0,353;0,019;1;1;1;1;1;1;1;1;1;1;1;1;0
"dégât";1;1;1;0,708;0,11;1;0,402;1;1;1;1;1;0;1;1;0,562;1
"dédier";1;1;1;1;0,103;1;1;1;1;0,015;1;1;1;0,019;1;1;1
"douane";0,495;1;1;1;1;1;0,332;1;1;1;1;1;0,447;1;0,332;0,479;0
"distance";1;0,146;1;0,792;0,808;1;0,47;1;1;1;0,586;0,567;0,604;1;1;0,077;1
"directement";1;1;1;1;1;0,015;0,402;1;1;0,009;1;0,493;0,528;1;0,402;0,562;1
"difficulté";1;1;0,858;0,943;0;0,576;1;1;0,576;0,507;1;1;1;1;0,063;1;1
"dangereux";1;0,792;1;1;1;1;1;1;0,025;1;0,586;1;0;1;0,47;0,641;1
"criminel";0;0,708;0,629;1;1;1;1;1;1;1;1;1;1;1;1;0,051;1
"contrôler";1;0,708;0,002;0,104;1;0,383;1;1;1;1;1;1;0,528;1;1;0,562;1
"contrat";1;1;1;0,708;0,005;1;0,402;1;0,383;1;0,51;1;1;1;1;0,562;0,326
"conférence";1;0,617;0,542;0,617;1;1;1;0,011;1;1;1;1;1;1;1;0;1
"condamnation";0;1;0,45;1;0,532;1;1;1;1;1;1;1;1;1;1;1;1
"concevoir";0,579;0,104;1;1;1;0,383;1;1;0,383;0,326;1;1;1;0;1;1;1
"composer";0,658;1;1;0,792;1;1;1;1;0,45;0,388;0,586;0,567;1;0;1;1;0,388
"communal";1;1;1;0,002;0,002;0,315;1;0,348;1;1;1;1;1;1;1;1;1
"client";0,658;0,792;1;0,792;0,009;1;0,47;1;0,025;1;1;0,567;1;1;1;1;1
"cibler";1;0,708;1;0,708;0,723;0,383;1;0,42;0,383;0,326;1;0,493;0,528;1;1;1;1
"chinois";0,056;1;1;0,708;0,11;1;0,402;1;1;1;1;1;0,528;1;1;0,562;0,326
"capable";1;1;1;1;1;0,179;0,191;1;0,179;0;1;1;1;1;1;1;1
"brésil";1;1;0,45;1;1;0,246;1;1;1;1;1;0,01;1;1;1;0,016;0,202
"bois";1;1;1;1;1;0,246;0,261;1;0,246;1;1;0;1;1;1;0,393;1
"automne";1;1;1;0,871;0,205;0,001;0,535;1;1;1;0,657;0,076;1;1;1;1;0,448
"australie";1;0,068;1;1;1;0,315;1;1;1;0,264;0,431;0,415;0,025;1;1;1;1
"attente";1;0,004;1;1;0,723;1;0,018;1;0,383;1;1;1;0,528;1;0,402;1;1
"assemblée";1;1;1;0,197;1;1;1;0;1;1;1;1;1;1;1;1;1
"après_des";1;0,617;0,542;1;0,631;1;1;0,348;1;1;1;1;0,447;0,298;1;1;0,004
"adolescent";1;0;1;1;1;1;1;1;0,015;0,326;1;1;0,528;1;1;1;1
"abus";0,056;0,708;1;1;0,11;1;1;0,42;0,383;0,326;1;1;0,528;1;1;1;1
"abri";1;1;0,254;0,007;1;1;0;1;1;1;1;1;1;1;1;1;1
"abandonner";1;0,039;1;0,519;0,532;1;1;1;1;1;0,349;0,334;1;0,231;1;1;1
"washington";1;1;1;1;1;1;1;1;1;1;0,349;1;0,364;1;1;1;0
"vérifier";1;0,617;1;0,617;0,072;1;0,332;1;0,315;1;1;1;0,447;1;1;0,479;1
"viande";1;1;1;1;1;0,116;1;1;0,116;1;1;0,001;1;1;1;0,213;1
"uniquement";0,658;1;1;1;1;0,45;1;0,49;1;0,016;0,586;1;1;1;0,47;0,077;0,388
"ue";1;1;0,629;1;0,723;0;1;0,42;0,383;1;1;1;1;1;1;0,562;1
"télévision";1;1;0,45;1;1;1;1;1;1;1;1;0,334;0;0,231;1;1;0,202
"tschani";0,803;0,943;0,858;0,943;0,959;1;0,598;1;1;1;1;0,705;0,006;0,553;1;1;0,507
"transmettre";1;1;1;0,039;1;0,246;1;1;1;0,202;0,349;1;1;0,003;1;1;1
"top";1;1;1;1;1;1;1;1;1;1;0;0,041;1;1;1;1;1
"tomber";1;1;0,45;0,519;1;1;1;1;1;1;0,349;1;0,013;1;1;0,016;1
"séduire";1;1;1;0,617;1;0,315;1;1;0,315;1;0,022;0,415;1;0,007;1;1;1
"suspension";0;1;0,542;1;1;1;1;0,011;0,315;1;1;1;0,447;1;1;1;1
"studio";1;1;1;1;1;1;1;1;1;1;1;0,173;1;0;1;1;1
"stade";1;1;1;1;1;1;1;1;1;0,143;0,004;1;1;0,167;0,191;1;0,143
"soumettre";1;1;1;0,039;0,532;1;0,261;1;1;1;1;0,01;1;1;1;0,393;1
"siècle";0,495;0,617;1;1;0,631;1;1;1;1;1;1;0;1;1;1;0,031;1
"similaire";0,084;1;1;0,792;1;1;0,47;0,49;1;1;0,586;1;0,604;1;1;0,641;0,016
"sanction";1;0,306;1;0,306;1;1;1;0,134;1;1;1;1;1;1;1;1;0
"républicain";0,579;1;1;1;1;1;1;0,42;1;1;1;1;1;1;1;1;0
"réagir";0,084;0,146;0,71;1;0,808;0,45;1;1;1;0,388;0,586;1;1;1;1;0,641;1
"respecter";0,733;0,194;0,008;0,194;0,887;1;1;1;1;1;1;1;0,677;1;0,535;1;1
"remplacer";1;1;1;0,708;0,723;0,383;0,402;1;1;0,009;1;1;0,528;0,364;1;0,562;1
"reconnaissance";1;0,415;0,011;1;1;1;1;1;1;0,143;1;1;1;1;0,191;1;0,143
"rang";0,223;1;1;1;1;1;1;1;1;1;0,001;1;1;0,107;0,125;1;1
"raconter";0,223;0,306;1;1;1;1;1;1;1;1;0,183;0,173;1;1;1;0,213;1
"quantité";1;1;0,787;0,194;0,887;1;0,535;1;1;1;0,084;1;0,677;1;1;0,004;1
"présidentiel";0;1;1;1;1;1;1;0,275;1;1;1;1;1;1;1;1;0,002
"proximité";0,733;1;0,144;1;0,887;0,514;0,535;1;1;0,448;0,657;1;1;1;1;0,108;0,448
"prononcer";0,005;1;0,787;0,194;1;1;1;0,05;0,514;1;1;1;1;0,492;0,535;1;1
"pied";0,495;0,617;1;1;1;0,315;0,009;1;1;1;0,431;1;0,447;0,298;1;1;1
"perturbation";1;0,617;1;1;0,631;1;0;1;0,315;1;1;0,415;0,447;1;1;1;1
"patron";1;1;0,254;0,306;1;1;1;1;1;1;1;1;1;1;0,125;1;0
"parmelin";1;1;1;1;1;1;1;0,203;1;1;1;1;1;1;1;0,303;0
"page";0,002;1;1;1;1;0,116;1;1;1;1;0,183;1;1;0,107;1;1;1
"ordonner";0;1;0,71;1;0,808;1;0,47;0,49;1;1;1;1;0,604;1;1;1;0,388
"négatif";1;0,104;1;1;1;0,383;0,402;1;1;1;0,51;1;1;1;0;1;1
"médicament";0,135;0,197;1;1;1;1;1;1;0,061;0,045;1;1;1;1;1;1;1
"mécanisme";1;1;0,008;1;0,887;0,514;1;1;1;0;1;0,638;1;1;1;1;1
"musk";1;1;1;0,002;1;1;1;1;1;0,045;1;1;1;1;1;1;0,045
"monter";0,407;0,039;1;0,519;1;1;1;0,275;1;1;1;1;1;1;0,261;1;0,202
"malfaiteur";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,303;1
"lutter";1;0,871;0,787;0,871;0,887;1;1;0,557;1;0,448;1;1;0,677;1;1;0,004;0,448
"logement";1;1;1;1;1;1;0;1;1;1;1;0,099;1;1;0,067;1;1
"libération";0,056;1;0;1;1;0,383;1;1;1;1;1;1;1;1;1;1;1
"lauréat";1;1;1;1;1;1;1;1;1;1;1;0;1;0,056;1;1;1
"juillet";1;1;0,106;1;1;1;1;0,49;1;1;0,586;1;1;0,022;1;0;1
"juge";0;1;0,71;1;1;1;0,47;0,49;1;1;0,586;1;1;1;1;1;0,388
"issue";0,407;1;0,45;0,039;1;1;1;0,005;1;1;1;1;1;1;1;1;0,202
"investir";1;1;1;0;0,808;1;1;0,49;1;1;1;1;0,604;1;1;0,077;0,388
"intense";1;1;1;0,306;1;1;1;1;1;1;0,183;1;0,001;0,107;1;1;1
"inondation";1;1;1;0;1;1;1;1;1;1;1;1;0,048;1;1;1;1
"influence";1;0,008;1;1;1;1;1;1;1;0,016;0,586;0,567;0,604;1;0,47;1;0,388
"immédiat";0,579;1;0;0,708;0,723;1;1;1;1;1;1;0,493;1;1;1;1;1
"héritage";1;1;1;1;0,103;0,022;1;1;1;1;1;1;1;1;1;0,056;1
"grève";1;1;1;1;0,723;1;1;0;0,015;1;1;1;1;1;1;0,562;1
"gratuit";1;1;1;0,008;0,808;1;0,47;1;1;1;0,586;1;1;0,429;0,029;0,641;1
"geste";0,407;0,519;1;0,519;1;1;1;0,275;1;1;0,349;0,334;1;1;1;1;0,202
"gens";1;1;1;1;0,317;1;1;0,134;0;1;0,183;1;1;1;1;1;1
"gaz";1;1;1;1;1;1;1;0,42;0,383;0,326;1;1;0,042;1;0,402;0,001;1
"fédération";1;1;1;1;1;1;1;0,134;0,116;1;0,001;1;1;1;0,125;1;1
"foyer";1;0;1;1;1;0,315;1;1;0,315;1;1;1;1;0,298;1;0,479;1
"fortement";1;0,068;1;0,617;1;0,315;0,332;1;1;1;1;1;0,025;1;1;0,479;1
"finance";1;1;0,072;1;0,723;1;0,402;0,02;0,383;1;1;1;1;1;1;0,562;0,326
