"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17"
"pays";1;0,367;0;1;1;1;1;0,132;1;1;0,969;1;1;1;1;0,684;0
"notamment";1;0,89;0,192;0,36;1;0,78;1;0,293;0,446;0,291;1;1;1;0,714;1;0,708;1
"emji_caméscope";1;0,016;1;1;1;1;0,665;1;1;1;1;0,003;0,098;0,072;1;1;0,938
"souligner";0,941;0;1;1;0,491;0,148;1;0,44;0,148;1;1;1;1;1;0,39;0,561;1
"bio";0,392;1;0,279;1;0;0,813;1;0,109;0,813;1;1;1;0,537;1;1;1;1
"conseil";1;1;1;0;0,272;1;1;0;1;1;1;1;1;1;0,002;0,077;0,081
"permettre";1;1;0,963;0,017;1;0,627;0,139;1;0,627;0,003;1;1;1;1;1;0,007;1
"annoncer";1;1;0,002;1;1;1;0,158;0;1;1;1;1;0,718;0,032;1;0,483;0,003
"prévoir";1;1;0,312;0;1;1;0;0,125;1;1;1;1;1;1;0,538;0,077;0,132
"face";0,996;0,622;1;0,343;0,073;0,871;1;0,093;1;1;0;1;1;1;1;0,575;1
"public";0,02;1;1;0,091;1;1;0,809;0;0,171;1;1;1;0,476;0,046;1;1;1
"canton";1;0,9;1;0,002;0,01;1;0,072;0,02;0,99;1;1;1;1;1;0,072;1;1
"place";1;1;1;1;0,841;0,915;0;0,54;1;1;0,139;1;0,158;1;0,191;0,2;1
"fédéral";1;0,647;1;0,344;0,374;1;1;0,338;1;1;1;1;1;1;0,005;0,002;0,001
"femme";0,644;0;1;1;1;1;1;1;1;1;0,017;0,845;0,933;0,525;1;1;0,154
"projet";1;1;1;0;0,014;1;0,087;1;1;0,892;1;1;1;0,525;1;0,001;1
"novembre";1;1;0,184;0,608;0,641;1;1;0,001;1;1;1;1;1;0,295;1;0,116;1
"viser";1;1;0,033;0;0,002;0,916;1;0,109;1;0,364;1;1;1;1;1;1;0,749
"état";0,125;1;0,001;1;1;1;1;0,026;1;1;1;1;0,022;1;1;1;0
"prendre";1;0,386;0,805;1;1;1;0,969;0,032;1;1;0,489;1;0,905;1;0,025;0,623;1
"américain";1;1;0,001;0,706;1;1;1;1;1;1;0,304;1;1;0,792;1;1;0
"voir";0,973;1;1;0,868;0,105;0,194;1;1;0,502;1;0,002;1;1;0,459;1;0,081;1
"mondial";1;0,226;1;1;1;1;1;1;1;1;0;0,462;1;0,061;1;1;1
"franc";1;1;1;0;0,019;1;0,103;1;1;1;1;0,898;1;1;1;0,01;1
"président";0;1;0,168;1;1;1;1;0;1;1;1;1;1;1;1;0,026;0
"groupe";1;1;0,181;1;0,298;0,456;1;0,174;1;1;1;1;0,093;0,002;1;1;1
