"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17"
",";0,07;0,085;0,076;0,085;0,086;0,051;0,053;0,055;0,051;0,046;0,063;0,062;0,065;0,05;-18,877;0,069;0,046
".";0,07;0,085;0,076;0,085;0,086;0,051;0,053;0,055;0,051;0,046;0,063;0,062;0,065;0,05;-18,877;0,069;0,046
"emji_main_qui_écrit";-1,192;1,987;-0,003;-0,656;-16,26;-0,151;-0,56;-5,952;-1,711;1,544;7,42;-0,514;0,083;3,424;3,883;0,708;4,869
"suisse";-3,331;2,833;-0,708;6,726;9,384;0,287;-1,195;-7,164;-0,355;-8,773;1,785;-0,37;-6,44;-3,991;11,342;2,542;-0,348
"emji_appareil_photo";0,057;0,308;0,358;0,308;2,416;-0,041;1,987;0,653;-0,041;-1,114;-36,403;-0,572;1,429;0,163;-0,622;0,013;1,643
"rts";-3,818;0,241;0,006;-0,009;34,016;1,6;-3,232;1,483;1,6;-0,135;-11,192;2,157;0,014;-4,876;-0,135;-0,285;-5,14
"keystone";-0,072;-7,065;0,615;4,07;0,158;-1,189;5,36;4,389;-0,132;-5,949;-12,583;-9,473;-0,168;-7,588;19,918;9,584;1,87
"info";-1,917;0,354;-0,049;-0,081;35,742;2,794;-1,923;0,905;0,889;0,128;-30,223;3,909;0;-4,862;0,002;-0,086;-5,355
"rtsinfo";4,479;-1,857;1,891;5,002;-12,572;-0,01;3,87;-0,139;-0,01;0,544;-19,33;-2,46;-0,012;3,756;1,519;-0,472;2,306
":";-1,191;-1,692;-1,713;-1,692;0;8,124;-0,066;-1,409;1,274;8,11;12,475;-0,488;-0,007;0,656;-0,066;-1,945;-1,467
"emji_drapeau_suisse";-3,088;-2,096;-9,02;7,12;6,497;-2,203;11,98;1,003;-0,486;-5,831;1,229;-5,743;-1,296;-3,184;11,98;3,213;-0,124
"premier";0,017;-0,686;1,083;0,392;-2,605;-0,041;-0,54;-0,14;-4,041;-0,16;17,423;-0,075;-0,703;1,594;-2,643;-0,339;5,96
"année";-4,965;0,392;-2,65;-0,01;-1,572;-0,041;0,361;-0,14;-0,041;-3,314;8,639;0,952;-2,729;4,753;7,995;1,977;-3,314
"!";-0,004;-4,615;-0,072;-6,45;75,198;-0,416;-1,428;0,403;-0,025;-6,058;47,28;-2,225;-0,083;-4,222;-1,428;-1,639;-3,807
"mettre";1,452;-1,864;-2,252;-0,948;-0,064;-1,281;0,059;0,403;-0,025;-0,177;-1,219;0,092;5,481;1,97;1,447;0,741;-0,867
"ats";-1,147;-2,493;3,137;-0,242;-3,989;1,271;0,018;0,002;-0,05;-1,86;0,001;-3,84;-0,207;0,104;5,538;20,69;-0,795
