y;1;4;6;6;4;3;0;7;1;2;7;4;3;5;2;5;2
trois;5;6;6;6;6;4;5;2;3;1;6;7;6;5;3;2;2
2;2;4;2;4;3;7;3;2;4;5;9;3;1;3;6;6;1
autres;7;7;4;5;5;1;3;5;9;6;6;5;6;3;3;2;0
aussi;3;8;5;4;7;2;4;2;5;1;9;3;2;1;6;3;2
leurs;1;12;2;7;9;3;0;3;2;6;4;3;2;3;2;5;2
on;2;6;1;0;5;2;1;1;4;4;11;2;2;4;2;3;1
où;5;7;4;2;2;3;1;4;2;3;6;7;3;9;3;5;2
sous;5;3;7;3;6;4;3;4;3;0;3;2;5;1;2;3;2
si;2;1;4;6;4;4;2;2;3;2;9;3;0;2;2;4;2
ils;2;2;4;6;1;1;2;3;3;2;3;3;7;4;3;5;5
alors;7;2;8;2;4;6;2;4;0;1;7;2;2;1;2;3;3
jusqu_à;5;1;6;7;5;4;9;4;0;4;0;2;4;0;0;5;1
cet;2;2;5;3;3;4;7;4;2;0;2;7;6;4;0;8;2
nous;1;2;2;2;2;3;1;1;1;2;4;0;1;4;1;3;1
dès;2;5;2;8;4;1;11;1;0;0;1;1;1;1;0;8;1
4;3;4;2;2;3;4;2;3;3;3;7;3;1;1;3;2;1
malgré;5;4;9;3;6;2;1;4;2;2;3;3;3;1;4;4;1
environ;1;10;1;5;5;0;4;3;0;2;2;3;3;3;2;4;3
htag_sport;0;0;0;0;0;0;0;1;0;0;34;0;0;0;0;3;0
htag_rtssport;0;0;0;0;0;0;0;1;0;0;34;0;0;0;0;3;0
2024;2;5;4;4;7;1;0;3;0;0;7;5;2;2;4;4;4
non;6;6;5;2;7;1;3;1;8;4;1;1;5;0;0;3;1
20;2;5;3;6;2;3;1;4;1;2;5;2;3;1;1;4;0
10;3;4;5;3;2;4;4;0;2;4;7;2;0;3;0;4;1
6;1;3;3;3;0;1;0;0;0;0;8;2;2;2;3;6;2
très;3;2;2;1;1;1;1;0;1;2;5;4;4;2;2;6;2
grâce;1;1;0;3;3;4;2;1;1;5;5;6;0;2;2;3;2
souvent;0;9;3;1;2;3;0;2;4;4;1;5;1;1;6;1;1
chaque;1;8;0;0;3;5;6;1;4;3;3;3;0;1;1;4;2
vers;3;2;5;2;3;3;9;1;2;0;1;2;7;0;0;3;2
notre;0;4;3;0;6;2;2;0;4;2;4;2;1;1;0;2;1
chez;0;8;1;1;0;3;2;2;6;3;4;2;4;3;1;1;1
quatre;5;4;1;1;4;0;3;4;1;1;1;3;4;3;2;2;2
tous;1;2;3;5;2;3;3;0;2;0;7;3;0;4;3;3;0
vouloir;1;0;1;5;2;1;2;1;1;0;8;2;0;2;2;5;3
elles;3;8;3;2;3;4;3;1;4;1;2;1;1;1;3;3;2
certains;4;7;1;4;1;0;2;5;2;2;0;2;2;0;2;3;3
30;2;7;1;2;4;4;1;1;1;1;1;3;1;2;1;1;1
lui;4;1;4;1;0;0;1;2;1;2;9;1;3;3;0;3;1
toute;1;2;5;3;3;0;4;2;2;0;6;2;1;2;3;3;0
point;1;1;1;1;1;0;0;0;2;1;5;1;0;0;3;4;0
parmi;3;8;4;0;4;4;1;0;4;0;3;3;3;2;0;1;1
cependant;4;6;2;5;5;2;1;3;4;0;1;1;0;1;3;1;2
autre;2;2;1;1;1;1;4;1;2;3;6;3;4;1;1;2;2
50;1;6;2;2;5;0;2;2;2;1;5;2;1;1;2;1;1
7;1;2;3;1;0;1;1;2;1;0;5;1;1;3;2;5;0
t;1;1;3;0;1;2;0;2;1;1;8;1;0;2;4;5;0
8;1;3;1;2;1;1;0;2;0;1;3;0;1;1;2;2;0
tandis_que;1;6;4;3;3;1;1;1;1;1;1;5;4;0;3;3;1
peu;3;1;0;1;1;2;0;2;0;1;4;3;3;1;3;0;3
15;3;6;2;4;1;2;2;1;0;0;3;2;1;0;0;2;3
cinq;5;4;4;2;4;0;5;1;2;3;1;3;2;2;1;0;2
cela;0;2;2;4;2;2;0;2;5;2;3;1;0;1;2;5;0
2023;4;7;2;4;2;0;1;1;0;1;3;1;0;2;1;4;0
ici;2;4;2;6;5;2;1;0;0;2;1;0;0;1;3;4;1
fort;0;1;1;2;0;0;0;4;1;0;1;2;1;0;1;5;0
pendant;3;3;2;3;2;3;1;1;1;0;2;2;1;1;1;4;2
donc;1;1;0;5;0;2;2;3;1;0;7;0;0;1;0;4;0
40;1;5;1;4;1;2;0;3;0;0;2;1;2;1;2;1;2
18;2;4;3;3;2;4;0;0;1;0;3;2;1;0;2;3;2
toujours;5;1;2;1;0;1;1;1;0;0;6;1;5;2;1;4;1
dire;0;1;3;1;1;0;2;1;1;1;3;0;3;2;2;3;3
16;2;4;2;2;2;1;1;3;0;0;6;2;2;1;1;0;0
0;0;2;0;0;0;0;1;1;0;1;7;1;0;0;2;0;0
force;1;0;12;0;0;1;0;4;0;0;1;1;7;1;0;1;1
bon;0;3;0;1;3;1;2;1;1;3;6;3;0;0;4;0;1
25;2;8;2;1;2;0;3;1;0;4;3;1;1;1;2;1;0
htag_suisse;0;0;0;0;0;1;0;0;0;0;12;0;0;0;0;0;0
e;0;2;0;1;2;0;1;1;1;1;0;2;0;0;4;1;0
devant;3;0;2;1;1;0;0;3;0;0;3;0;3;1;0;2;1
9;0;4;2;0;1;1;0;1;1;1;5;1;1;1;1;3;0
quelques;2;2;2;1;3;1;1;2;0;0;7;1;4;0;1;2;0
dix;3;2;1;1;0;1;1;1;1;0;2;2;2;1;3;2;1
aujourd_hui;1;2;1;1;1;2;0;2;2;2;0;2;1;3;2;1;0
100;0;4;2;2;2;0;0;0;1;0;2;2;2;2;2;3;2
je;2;0;0;0;0;0;1;1;0;0;7;0;0;2;0;0;0
plein;2;2;0;3;4;0;0;1;1;0;1;1;2;2;0;0;1
durant;1;0;0;1;2;1;3;1;2;0;5;2;4;0;0;1;2
ceux;0;6;0;3;1;1;2;2;4;1;2;0;1;0;1;1;0
11;0;4;0;2;1;2;1;1;0;0;3;0;5;2;0;0;1
tu;0;0;0;0;3;0;0;0;0;1;9;1;0;0;0;0;0
htag_football;0;0;0;0;0;0;0;1;0;0;11;0;0;0;0;0;0
14;1;3;0;5;1;1;5;1;0;0;3;0;0;3;0;1;0
toutes;2;3;0;3;3;1;0;0;1;2;2;0;0;1;0;0;0
afin;1;3;3;5;1;0;2;1;2;1;4;0;0;2;1;1;0
2022;3;2;0;0;2;1;0;0;1;1;2;1;0;2;0;5;0
19;0;4;2;1;0;1;0;2;2;1;1;1;1;1;0;2;0
certaines;0;3;1;4;2;3;1;2;0;1;1;1;0;0;1;1;0
toutefois;1;0;0;5;1;0;3;2;1;2;1;0;1;0;5;2;3
surtout;2;3;0;4;0;1;1;1;2;1;6;1;0;1;4;1;1
13;2;4;2;1;1;0;0;1;1;0;2;0;1;2;1;0;0
ton;0;0;0;0;1;0;0;1;0;0;3;0;0;1;0;0;0
nos;1;1;0;3;1;2;0;0;1;4;1;1;0;0;1;1;0
aucun;1;1;2;1;1;0;1;1;0;0;0;0;6;0;3;2;1
24;1;1;0;0;2;0;2;1;0;0;3;2;1;1;1;3;0
jamais;2;0;0;1;0;0;0;0;1;0;2;3;1;1;0;1;1
autour;2;1;2;2;3;2;0;0;0;1;1;1;1;0;0;1;2
300;1;1;6;2;1;1;1;1;1;0;0;0;0;0;2;0;1
22;0;0;2;1;1;0;4;1;0;0;2;1;1;0;0;1;0
trop;0;2;3;2;1;0;0;0;1;2;1;0;0;0;2;0;3
six;2;1;3;0;1;1;0;1;1;0;1;0;1;2;0;1;1
200;0;2;1;2;2;0;0;0;3;0;1;2;0;1;0;1;1
12;1;3;0;3;2;1;1;0;0;2;2;0;3;0;2;0;1
ni;2;0;2;0;0;0;1;2;0;1;1;0;1;0;1;2;0
m;1;0;3;0;0;1;0;0;0;1;2;0;0;1;0;0;0
ensuite;1;0;1;1;0;1;0;0;1;1;2;1;3;3;0;3;0
celui;3;4;0;0;0;1;0;1;0;0;2;0;0;2;2;1;2
aucune;0;2;2;1;2;0;1;2;1;0;2;1;3;0;0;1;1
70;3;1;0;3;1;1;2;0;2;0;0;1;0;1;0;2;0
60;0;2;0;6;0;0;0;0;1;0;3;0;0;1;0;0;0
27;2;2;2;0;1;2;0;1;0;1;4;0;1;0;0;1;0
près;1;6;2;0;0;1;0;0;2;0;1;1;1;0;2;2;0
falloir;0;2;0;3;0;0;1;1;0;0;2;0;0;0;2;2;0
da;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0
17;1;4;0;0;2;0;0;0;0;0;5;3;1;0;0;0;0
vous;0;1;1;3;1;1;0;0;1;0;0;1;0;0;1;0;0
28;0;1;1;1;0;1;1;1;1;0;3;1;0;0;0;1;0
23;1;1;0;2;1;0;0;0;0;1;2;1;0;1;2;5;1
21;0;1;3;0;1;0;1;1;1;1;5;0;2;2;0;0;0
2027;0;1;1;3;6;0;1;1;0;0;0;1;0;0;0;2;2
2019;6;1;3;0;1;1;0;1;0;0;2;0;0;0;1;1;1
davantage;0;2;0;1;1;0;0;3;2;2;2;1;0;0;2;2;0
celle;2;1;0;0;2;2;0;0;0;1;2;1;0;2;1;1;1
car;0;2;2;3;1;2;1;1;3;0;1;1;0;0;1;0;1
beaucoup;1;3;1;1;1;0;0;0;0;0;3;0;1;1;1;1;1
tant;1;1;0;0;1;1;0;3;2;1;3;0;0;0;1;2;2
